# productId	printed
G3033212	NXP-003
G3569062	DNP-024
G3569141	NX-281
G8892381	NXP-005
G8903747	DN-108T
G8903748	DN-109T
G8903749	DN-110T
G8903750	DN-111T
G8903751	DN-112T
G8903752	DN-113T
G8903753	DN-114T
G8903754	DN-115T
G8903755	DN-116T
G8903756	DN-117T
G8903757	DN-118T
G8903758	DN-119T
G8903759	DN-120T
G8903760	DN-121T
G8903761	DN-122T
G8903762	DN-123T
G8903763	DN-124T
G8903764	DN-125T
G8903765	DN-126T
G8903766	DN-127T
G8903767	DN-128T
G8903768	DN-129T
G8903769	DN-130T
G8903770	DN-131T
G8903771	DN-132T
G8903772	DN-133T
G8903773	DN-134T
G8903774	DN-135T
G8903775	DN-136T
G8903776	DN-137T
G8903777	DN-138T
G8903778	DN-139T
G8903779	DN-140T
G8903780	DN-141T
G8903781	DN-142T
G8903782	DN-143T
G8903783	DN-144T
G8903784	DN-145T
G8903785	DN-146T
G8903786	DN-147T
G8903787	DN-148T
G8903788	DN-149T
G8903789	DN-150T
G8903790	DN-151T
G8903791	DN-152T
G8903792	DN-153T
G8903793	DN-154T
G8903794	DN-155T
G8903795	DN-156T
G8903796	DN-157T
G8903797	DN-158T
G8903798	DN-159T
G8903799	DN-160T
G8903800	DN-161T
G8903801	DN-162T
G8903802	DN-163T
G8903803	DN-164T
G8903804	DN-165T
G8903805	DN-166T
G8903806	DN-167T
G8903807	DN-168T
G8903808	DN-169T
G8903809	DN-170T
G8903810	DN-171T
G8903811	DN-172T
G8903812	DN-173T
G8903813	DN-174T
G8903814	DN-175T
G8903815	DN-176T
G8903816	DN-177T
G8903817	DN-178T
G8903818	DN-179T
G8903819	DN-180T
G8903820	DN-181T
G8903821	DN-182T
G8903822	DN-183T
G8903823	DN-184T
G8903824	DN-185T
G8903825	DN-186T
G8903826	DN-187T
G8903827	DN-188T
G8903828	DN-189T
G8903829	DN-190T
G8903830	DN-191T
G8903831	DN-192T
G8903832	DN-193T
G8903833	DN-194T
G8903834	DN-195T
G8903835	DN-196T
G8903836	DN-197T
G8903837	DN-198T
G8903838	DN-199T
G8903839	DN-200T
