602308643	忍伝-2	忍伝-207[ノーマル]：忍伝-207/奈良ヨシノ
G8868292	作伝-055	作伝-055[ノーマル]：作伝-055/追憶
G8868293	作伝-058	作伝-058[ノーマル]：作伝-058/決意の涙
G8868294	術伝-154	術伝-154[ノーマル]：術伝-154/短縮修業法
G8868295	術伝-156	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　第七幕　「紅き烈風の絆　編」　術伝-156[レア]：術伝-156/咆哮
G8868296	術伝-163	術伝-163[ノーマル]：術伝-163/水遁滝壺の術
G8868297	術伝-168	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　第七幕　「紅き烈風の絆　編」　術伝-168[ノーマル]：術伝-168/カウンター
G8868298	忍伝-205	忍伝-205[ノーマル]：忍伝-205/犬塚ハナ
G8868299	忍伝-207	忍伝-207[ノーマル]：忍伝-207/奈良ヨシノ
GG594482	忍伝-030	アニメ系トレカ/シークレットレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-030[シークレットレア]：うずまきナルト＆春野サクラ
GG594483	忍伝-055	アニメ系トレカ/ウルトラレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-055[ウルトラレア]：うちはイタチ
GG594484	忍伝-128	忍伝-128[レア]：シズネ
GG594485	忍伝-146	アニメ系トレカ/ウルトラレア/忍/NARUTO　疾風伝　CARDGAME　第五幕　～再会、忌まわしき写輪眼!編～　忍伝-146[ウルトラレア]：春野サクラ
GG594486	忍伝-168	アニメ系トレカ/シークレットレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-168[シークレットレア]：うちはサスケ
GG594487	忍伝-188	アニメ系トレカ/ウルトラレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-188[ウルトラレア]：綱手
GG594488	忍伝-191	アニメ系トレカ/シークレットレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-191[シークレットレア]：うずまきナルト＆自来也
GG594489	忍伝-225	アニメ系トレカ/シークレットレア/忍/NARUTO　疾風伝　CARDGAME　忍伝-225[シークレットレア]：うずまきナルト
GL124371	忍伝-006	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-006[レア]：綱手
GL124372	忍伝-012	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-012[ノーマル]：由良
GL124373	忍伝-015	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-015[レア]：うちはサスケ
GL124374	忍伝-019	忍伝-019[ノーマル]：ロック・リー
GL124375	忍伝-020	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-020[ノーマル]：テンテン
GL124376	忍伝-021	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-021[ノーマル]：日向ネジ
GL124377	忍伝-024	忍伝-024[ノーマル]：赤丸
GL124378	忍伝-029	忍伝-029[ノーマル]：みたらしアンコ
GL124379	忍伝-034	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-034[ノーマル]：桃地再不斬
GL124380	忍伝-035	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-035[ノーマル]：君麻呂
GL124381	忍伝-045	忍伝-045[ノーマル]：うみのイルカ
GL124382	忍伝-051	アニメ系トレカ/スーパーレア/NARUTO　疾風伝　CARDGAME　忍伝-051[スーパーレア]：マイト・ガイ
GL124383	忍伝-060	アニメ系トレカ/シークレットレア/NARUTO　疾風伝　CARDGAME　忍伝-060[シークレットレア]：うちはサスケ＆大蛇丸
GL124384	忍伝-064	忍伝-064[ノーマル]：エビゾウ
GL124385	忍伝-075	忍伝-075[レア]：うずまきナルト＆紫苑
GL124386	忍伝-079	忍伝-079[レア]：犬塚キバ
GL124387	忍伝-080	忍伝-080[レア]：油女シノ
GL124388	忍伝-081	忍伝-081[レア]：日向ヒナタ
GL124389	忍伝-082	忍伝-082[レア]：山中いの
GL124390	忍伝-083	忍伝-083[レア]：秋道チョウジ
GL124391	忍伝-084	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-084[ノーマル]：テウチ
GL124392	忍伝-085	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-085[ノーマル]：はがねコテツ
GL124393	忍伝-086	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-086[ノーマル]：神月イズモ
GL124394	忍伝-087	忍伝-087[ノーマル]：鬼童丸
GL124395	忍伝-088	忍伝-088[ノーマル]：次郎坊
GL124396	忍伝-089	忍伝-089[ノーマル]：左近
GL124397	忍伝-090	忍伝-090[ノーマル]：多由也（Bランク）
GL124398	忍伝-091	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-091[ノーマル]：タカ丸
GL124399	忍伝-093	忍伝-093[ノーマル]：父と母
GL124400	忍伝-095	アニメ系トレカ/スーパーレア/NARUTO　疾風伝　CARDGAME　忍伝-095[スーパーレア]：サソリ
GL124401	忍伝-096	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-096[ノーマル]：三代目風影
GL124402	忍伝-097	忍伝-097[ノーマル]：紫苑（Bランク）
GL124403	忍伝-098	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-098[ノーマル]：足穂
GL124404	忍伝-099	忍伝-099[ノーマル]：黄泉
GL124405	忍伝-121	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-121[レア]：うずまきナルト
GL124406	忍伝-122	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-122[レア]：春野さくら
GL124407	忍伝-123	アニメ系トレカ/ウルトラレア/NARUTO　疾風伝　CARDGAME　忍伝-123[ウルトラレア]：サイ
GL124408	忍伝-124	忍伝-124[ノーマル]：山中いの
GL124409	忍伝-125	忍伝-125[ノーマル]：奈良シカマル
GL124410	忍伝-126	忍伝-126[ノーマル]：秋道チョウジ
GL124411	忍伝-129	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-129[レア]：ダンゾウ
GL124412	忍伝-130	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-130[レア]：チヨ
GL124413	忍伝-131	忍伝-131[ノーマル]：マツリ
GL124414	忍伝-132	忍伝-132[ノーマル]：ミコシ
GL124415	忍伝-134	忍伝-134[ノーマル]：サソリ
GL124416	忍伝-137	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-137[レア]：紫苑
GL124417	忍伝-138	忍伝-138[ノーマル]：ミロク
GL124418	忍伝-139	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-139[ノーマル]：ススキ
GL124419	忍伝-140	忍伝-140[ノーマル]：クスナ
GL124420	忍伝-141	忍伝-141[ノーマル]：シズク
GL124421	忍伝-142	忍伝-142[ノーマル]：セツナ
GL124422	忍伝-143	忍伝-143[ノーマル]：ギタイ
GL124423	忍伝-147	アニメ系トレカ/ウルトラレア/NARUTO　疾風伝　CARDGAME　忍伝-147[ウルトラレア]：うちはサスケ
GL124424	忍伝-148	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-148[レア]：サイ
GL124425	忍伝-151	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-151[ノーマル]：犬塚キバ
GL124426	忍伝-152	忍伝-152[ノーマル]：油女シノ
GL124427	忍伝-153	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-153[ノーマル]：日向ヒナタ
GL124428	忍伝-154	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-154[ノーマル]：日向ヒアシ
GL124429	忍伝-155	忍伝-155[ノーマル]：暗部
GL124430	忍伝-156	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-156[ノーマル]：赤丸
GL124431	忍伝-157	忍伝-157[ノーマル]：水戸門ホムラ
GL124432	忍伝-158	忍伝-158[ノーマル]：うたたねコハル
GL124433	忍伝-159	忍伝-159[ノーマル]：温泉ギャル
GL124434	忍伝-160	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-160[レア]：我愛羅
GL124435	忍伝-161	忍伝-161[ノーマル]：カンクロウ
GL124436	忍伝-162	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-162[ノーマル]：山椒魚
GL124437	忍伝-163	忍伝-163[ノーマル]：エビゾウ
GL124438	忍伝-164	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-164[レア]：サソリ
GL124439	忍伝-165	忍伝-165[レア]：デイダラ（Bランク）
GL124440	忍伝-166	忍伝-166[レア]：大蛇丸
GL124441	忍伝-167	忍伝-167[レア]：薬師カブト
GL124442	忍伝-171	忍伝-171[ノーマル]：サイ
GL124443	忍伝-172	忍伝-172[レア]：春野さくら
GL124444	忍伝-173	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-173[レア]：サソリ
GL124445	忍伝-174	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-174[ノーマル]：奈良シカマル
GL124446	忍伝-175	忍伝-175[レア]：はたけカカシ
GL124447	忍伝-176	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-176[レア]：うちはイタチ
GL124448	忍伝-177	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-177[ノーマル]：ヤマト
GL124449	忍伝-178	忍伝-178[ノーマル]：マイト・ガイ
GL124450	忍伝-179	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-179[ノーマル]：干柿鬼鮫
GL124451	忍伝-180	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　忍伝-180[ノーマル]：ゼツ
GL124452	忍伝-181	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-181[レア]：デイダラ
GL124453	忍伝-182	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　忍伝-182[レア]：我愛羅
GL124454	忍伝-183	忍伝-183：トビ
GL124455	忍伝-184	アニメ系トレカ/NARUTO　疾風伝　CARDGAME　忍伝-184：バキ
GL124456	忍伝-185	アニメ系トレカ/NARUTO　疾風伝　CARDGAME　忍伝-185：テマリ
GL124457	忍伝-186	忍伝-186：薬師カブト
GL124458	忍伝-189	忍伝-189[レア]：大蛇丸
GL124459	忍伝-190	忍伝-190：木ノ葉丸
GL124460	作伝-004	作伝-004[ノーマル]：危険な侵入者
GL124461	作伝-007	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　作伝-007[ノーマル]：ブチギレ
GL124462	作伝-008	作伝-008[レア]：新たな里長
GL124463	作伝-009	作伝-009[ノーマル]：円卓会議
GL124464	作伝-020	作伝-020[ノーマル]：迷子ペット‘‘トラ’’捕獲任務
GL124465	作伝-021	作伝-021[ノーマル]：宝くじ
GL124466	作伝-022	作伝-022[ノーマル]：ノルマクリア
GL124467	作伝-023	作伝-023[ノーマル]：時間稼ぎ
GL124468	作伝-024	作伝-024[ノーマル]：因縁の傀儡
GL124469	作伝-025	作伝-025[ノーマル]：他国の排除
GL124470	作伝-026	作伝-026[ノーマル]：トリ頭
GL124471	作伝-027	作伝-027[ノーマル]：カラクリの露呈
GL124472	作伝-028	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-028[レア]：時を越える
GL124473	作伝-029	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-029[レア]：変わりし運命
GL124474	作伝-030	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　作伝-030[ノーマル]：致命傷
GL124475	作伝-031	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-031[レア]：準備開始
GL124476	作伝-032	作伝-032[ノーマル]：封印の巫女
GL124477	作伝-033	作伝-033[ノーマル]：捜索隊
GL124478	作伝-034	作伝-034[ノーマル]：医療忍者の鉄則
GL124479	作伝-035	作伝-035[ノーマル]：臨時小隊
GL124480	作伝-036	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　作伝-036[ノーマル]：競争
GL124481	作伝-037	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-037[レア]：思わぬ再会
GL124482	作伝-038	作伝-038[ノーマル]：謎の襲撃者
GL124483	作伝-039	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　作伝-039[ノーマル]：力試し
GL124484	作伝-040	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-040[レア]：内輪揉め
GL124485	作伝-041	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　作伝-041[ノーマル]：木ノ葉病院
GL124486	作伝-042	作伝-042[ノーマル]：冷やかな視線
GL124487	作伝-043	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-043[レア]：裸の付き合い
GL124488	作伝-044	アニメ系トレカ/レア/NARUTO　疾風伝　CARDGAME　作伝-044[レア]：木ノ葉学園
